question,reponse,categorie,niveau_difficulte
"Qu'est-ce qu'une action ?","Titre de propriété d'une partie d'une entreprise. L'actionnaire peut recevoir des dividendes et espérer une plus-value si le cours de l'action monte.",Concept investissement,Moyen
"Qu'est-ce que la plus-value ?","Gain réalisé lors de la revente d'un actif (action, bien immobilier) à un prix supérieur à son prix d'achat. Elle est imposable dans certains cas.",Concept investissement,Moyen
"Qu'est-ce que la moins-value ?","Perte réalisée lors de la revente d'un actif à un prix inférieur à son prix d'achat. Elle peut parfois être déduite des plus-values.",Concept investissement,Moyen
"Qu'est-ce que la bourse ?","Marché organisé où s'échangent des actions, obligations et autres produits financiers. Exemples : Euronext Paris, New York Stock Exchange, Nasdaq.",Concept investissement,Facile
"Qu'est-ce que le CAC 40 ?","Principal indice boursier français, composé des 40 plus grandes entreprises cotées sur Euronext Paris (Total, LVMH, L'Oréal, etc.).",Concept investissement,Facile
"Qu'est-ce qu'un krach boursier ?","Chute brutale et importante (souvent >10% en quelques jours) des cours boursiers. Exemples : 1929, 1987, 2000 (bulle internet), 2008 (crise des subprimes).",Concept investissement,Difficile
"Qu'est-ce que la bulle spéculative ?","Situation où les prix des actifs (immobilier, actions, cryptos) montent bien au-delà de leur valeur réelle, poussés par l'enthousiasme et l'effet de levier, avant de s'effondrer.",Concept investissement,Difficile
"Qu'est-ce que l'investissement responsable (ISR) ?","Investissement qui prend en compte des critères Environnementaux, Sociaux et de Gouvernance (ESG) en plus des critères financiers.",Concept investissement,Moyen
"Qu'est-ce que la prime d'activité ?","Aide financière versée par la CAF aux travailleurs aux revenus modestes (salariés, indépendants). Elle complète les revenus d'activité.",Concept social,Facile
"Qu'est-ce que le RSA ?","Revenu de Solidarité Active : minimum social versé aux personnes sans ressources (ou faibles ressources), sous conditions de résidence et d'âge (25 ans et plus ou avec enfant).",Concept social,Facile
"Qu'est-ce que l'APL ?","Aide Personnalisée au Logement : aide au logement versée par la CAF ou la MSA aux locataires modestes, sous conditions de ressources.",Concept social,Facile
"Comment déclarer un changement de situation à la CAF ?","En ligne sur le site de la CAF (déclaration de grossesse, naissance, mariage, séparation, changement d'adresse, de revenus). Sous 30 jours.",Concept social,Facile
"Qu'est-ce que l'impôt sur le revenu ?","Impôt annuel sur les revenus des personnes physiques. Il est progressif : plus les revenus sont élevés, plus le taux est élevé (tranches de 0% à 45% en 2025).",Concept fiscalite,Moyen
"Qu'est-ce que le quotient familial ?","Système français qui divise le revenu imposable en parts (1 pour un célibataire, 2 pour un couple, 0,5 par enfant) pour calculer l'impôt. Réduit l'impôt pour les familles.",Concept fiscalite,Difficile
"Qu'est-ce que la CSG et la CRDS ?","Contributions sociales prélevées sur les revenus (salaires, retraites, revenus du patrimoine). CSG (9,2% environ) et CRDS (0,5%) financent la Sécurité sociale.",Concept fiscalite,Difficile
"Qu'est-ce que la taxe foncière ?","Impôt local payé par le propriétaire d'un bien immobilier (terrain ou bâtiment). Elle est calculée sur la valeur locative cadastrale du bien.",Concept fiscalite,Facile
"Qu'est-ce que la taxe d'enlèvement des ordures ménagères (TEOM) ?","Taxe additionnelle à la taxe foncière, perçue par la commune pour financer le service de collecte et traitement des déchets.",Concept fiscalite,Facile
"Qu'est-ce que la déclaration d'impôt en ligne ?","Obligatoire pour les foyers ayant accès à internet (sauf exceptions). Permet de déclarer ses revenus sur le site impots.gouv.fr avant la date limite (mai-juin).",Concept fiscalite,Facile
"Qu'est-ce que le prélèvement forfaitaire unique (PFU) ?","Ou 'flat tax' : prélèvement de 30% (12,8% d'impôt + 17,2% de CSG/CRDS) sur les revenus du capital (dividendes, intérêts, plus-values).",Concept fiscalite,Difficile
"Qu'est-ce que la niche fiscale ?","Dispositif légal permettant de réduire ses impôts (réduction, crédit d'impôt, exonération). Exemples : Pinel, Denormandie, épargne retraite, dons.",Concept fiscalite,Moyen
"Qu'est-ce que le crédit d'impôt pour frais de garde d'enfants ?","Crédit d'impôt de 50% des sommes payées pour la garde d'enfants de moins de 6 ans (micro-crèche, assistante maternelle), dans la limite de 2 300€ par enfant.",Concept fiscalite,Moyen
"Qu'est-ce que le quotient conjugal ?","Principe d'imposition commune pour les couples mariés ou pacsés. Ils remplissent une seule déclaration. Les revenus sont additionnés et le nombre de parts est de 2.",Concept fiscalite,Moyen
"Qu'est-ce qu'un foyer fiscal ?","Ensemble des personnes qui remplissent une seule déclaration d'impôt : un célibataire, un couple, avec ou sans enfants à charge.",Concept fiscalite,Facile
"Qu'est-ce que l'avance immédiate du crédit d'impôt ?","Pour certains crédits d'impôt (garde d'enfant, emploi à domicile), l'État verse une avance de 60% mensuellement ou trimestriellement, sans attendre la déclaration de l'année suivante.",Concept fiscalite,Difficile
"Qu'est-ce que l'éco-conditionnalité des aides ?","Principe qui conditionne le versement de certaines aides sociales ou fiscales au respect de critères écologiques (ex : prime à la conversion auto sous condition de kilométrage).",Concept social,Moyen
"Qu'est-ce qu'une AVS (Aide au retour à l'emploi) ?","Au Canada, l'assurance-emploi offre des prestations aux personnes ayant perdu leur emploi involontairement, sous conditions de cotisations.",Concept social,Facile
"Qu'est-ce que le projet professionnel ?","Démarche d'orientation ou de réorientation qui permet de définir ses objectifs de carrière, les formations nécessaires, et les financements possibles (CPF, Pro-A, transition pro).",Concept social,Facile
"Qu'est-ce que le CPF (Compte Personnel de Formation) ?","Compte qui accumule des droits à la formation (500€ par an, plafond 5000€). Le salarié peut l'utiliser à tout moment pour financer des formations éligibles.",Concept social,Facile
"Comment financer une formation avec le CPF ?","Se connecter sur moncompteformation.gouv.fr, choisir une formation éligible, demander le financement. Le CPF peut être complété par l'employeur ou Pôle Emploi.",Concept social,Facile
"Qu'est-ce que le taux d'épargne des ménages ?","Rapport entre l'épargne des ménages et leur revenu disponible brut. En France, il est autour de 15-18% (l'un des plus élevés d'Europe).",Concept economie,Difficile
"Qu'est-ce que le PIB (Produit Intérieur Brut) ?","Indicateur de la richesse produite sur un territoire pendant une année (somme des valeurs ajoutées). Ne mesure pas le bien-être ni les inégalités.",Concept economie,Moyen
"Qu'est-ce que la dette publique ?","Somme des emprunts de l'État (et des collectivités, sécurité sociale) pour financer son déficit. En France, environ 110% du PIB (2024).",Concept economie,Moyen
"Qu'est-ce que le déficit public ?","Différence entre les dépenses de l'État et ses recettes fiscales sur une année. Un déficit de 3% du PIB est la limite fixée par les traités européens.",Concept economie,Moyen
"Qu'est-ce que l'UMOA (Union Monétaire Ouest-Africaine) ?","Zone monétaire utilisant le franc CFA (XOF), garantie par le Trésor français. 8 pays : Bénin, Burkina, Côte d'Ivoire, Guinée-Bissau, Mali, Niger, Sénégal, Togo.",Concept economie,Difficile
"Qu'est-ce que le FMI (Fonds Monétaire International) ?","Institution internationale qui surveille la stabilité financière mondiale, accorde des prêts aux pays en difficulté (conditionnés à des réformes économiques).",Concept economie,Difficile
"Qu'est-ce que la Banque mondiale ?","Institution financière internationale qui accorde des prêts aux pays en développement pour des projets d'infrastructure, d'éducation, de santé.",Concept economie,Difficile
"Qu'est-ce que le G20 ?","Groupe des 20 principales économies mondiales (dont France, États-Unis, Chine, Allemagne, Japon, Inde, Russie, Brésil). Se réunit pour coordonner les politiques économiques.",Concept economie,Difficile
"Qu'est-ce que la Zone euro ?","Ensemble des pays de l'Union européenne ayant adopté l'euro comme monnaie unique (20 pays en 2025). La BCE gère la politique monétaire.",Concept economie,Facile
"Qu'est-ce que le traité de Maastricht ?","Traité signé en 1992 qui a créé l'Union européenne et fixé les critères de convergence pour adopter l'euro (déficit <3%, dette <60% du PIB).",Histoire finance,Difficile
"Qu'est-ce que le mécanisme de taux de change européen (MCE II) ?","Système qui permet aux pays souhaitant adopter l'euro de stabiliser leur monnaie par rapport à l'euro avant leur entrée.",Concept economie,Difficile
"Qu'est-ce que le Fonds européen de stabilité financière (FESF) ?","Fonds créé en 2010 pour aider les pays de la zone euro en difficulté financière (Grèce, Portugal, Irlande).",Concept economie,Difficile
"Qu'est-ce que la règle d'or budgétaire ?","Règle qui interdit à l'État d'emprunter pour financer ses dépenses courantes (hors investissement). En France, inscrite dans les lois de programmation des finances publiques.",Concept economie,Difficile
"Qu'est-ce que le Haut Conseil des finances publiques ?","Autorité indépendante qui contrôle les prévisions budgétaires du gouvernement et la sincérité des lois de finances en France.",Concept economie,Difficile
"Qu'est-ce que la Cour des comptes ?","Juridiction financière qui contrôle la régularité des comptes publics et évalue la performance des politiques publiques en France.",Concept economie,Difficile
"Qu'est-ce que la transparence budgétaire ?","Principe selon lequel l'État doit publier clairement ses recettes, dépenses, dette, et déficit pour permettre le contrôle citoyen et parlementaire.",Concept economie,Moyen
"Qu'est-ce que la LOLF (Loi organique relative aux lois de finances) ?","Loi de 2001 qui a réformé la gestion budgétaire de l'État français : budget par missions et programmes, responsabilité accrue des ministres.",Concept economie,Difficile
"Qu'est-ce que la performance budgétaire ?","Évaluation de l'efficacité de la dépense publique : a-t-on atteint les objectifs (qualité) avec les moyens alloués (coût) ?",Concept economie,Difficile
"Qu'est-ce que l'évaluation des politiques publiques ?","Démarche visant à mesurer les effets (positifs et négatifs) d'une politique publique (ex : crédit d'impôt recherche, RSA) pour décider de la poursuivre ou l'arrêter.",Concept economie,Difficile
"Qu'est-ce que le rôle de l'argent dans l'économie ?","L'argent sert à trois fonctions : unité de compte (mesurer la valeur), intermédiaire des échanges (payer), réserve de valeur (épargner).",Concept economie,Moyen
"Qu'est-ce que la création monétaire ?","C'est le processus par lequel la quantité de monnaie en circulation augmente. Les banques commerciales créent de la monnaie via les crédits. La BCE contrôle ce processus.",Concept economie,Difficile
"Qu'est-ce que la destruction monétaire ?","La monnaie disparaît quand un emprunteur rembourse son crédit (principal, pas intérêts). Cela réduit la masse monétaire.",Concept economie,Difficile
"Qu'est-ce que la masse monétaire (M3) ?","Quantité totale de monnaie en circulation dans une économie : billets, pièces, dépôts bancaires, titres de créance. Mesurée par la BCE.",Concept economie,Difficile
"Qu'est-ce que le multiplicateur de crédit ?","Processus par lequel un dépôt initial de 100€ peut générer plusieurs centaines d'euros de crédits, via les prêts et redépôts successifs dans le système bancaire.",Concept economie,Difficile
"Qu'est-ce que le coefficient de réserves obligatoires ?","Pourcentage des dépôts que les banques doivent détenir en liquidités (non prêtées). Fixé par la BCE, il influence la création monétaire.",Concept economie,Difficile
"Qu'est-ce que la liquidité bancaire ?","Capacité d'une banque à faire face à ses obligations de paiement immédiates (retraits de dépôts). Les banques doivent gérer leur liquidité.",Concept economie,Difficile
"Qu'est-ce que le risque de liquidité ?","Risque qu'une banque ne puisse pas honorer ses paiements (retraits) car elle a prêté trop à long terme et ne peut pas récupérer ses fonds rapidement.",Concept economie,Difficile
"Qu'est-ce que le risque de crédit ?","Risque qu'un emprunteur ne rembourse pas son crédit. La banque doit constituer des provisions pour couvrir ces pertes potentielles.",Concept economie,Difficile
"Qu'est-ce que le ratio de solvabilité (Bâle III) ?","Règle imposant aux banques de détenir des fonds propres équivalents à au moins 8% de leurs actifs pondérés par le risque (crédits, placements).",Concept economie,Difficile
"Qu'est-ce que le Fonds de garantie des dépôts (FGDR) ?","En France, garantit les dépôts bancaires (livrets, comptes courants) jusqu'à 100 000€ par client et par banque en cas de faillite de la banque.",Securite argent,Moyen
"Qu'est-ce que la résolution bancaire ?","Procédure gérée par le Fonds de résolution unique européen pour sauver une banque en faillite sans argent public (bail-in : les créanciers et actionnaires paient).",Concept economie,Difficile
"Qu'est-ce que l'Union bancaire européenne ?","Ensemble de règles (supervision unique par la BCE, résolution unique, garantie des dépôts harmonisée) pour stabiliser les banques de la zone euro.",Concept economie,Difficile
"Qu'est-ce que le Mécanisme de supervision unique (MSU) ?","La BCE supervise directement les plus grandes banques de la zone euro (environ 120) et vérifie leur solidité.",Concept economie,Difficile
"Qu'est-ce que le Mécanisme de résolution unique (MRU) ?","Organisme européen qui décide de la restructuration ou de la liquidation des banques en difficulté, avec un fonds de résolution de 55 milliards €.",Concept economie,Difficile
"Qu'est-ce que la directive sur les crédits immobiliers (DCI) ?","Directive européenne qui impose des règles de protection des emprunteurs : évaluation de solvabilité, délai de réflexion, fiche d'information standardisée (FISE).",Concept credit,Difficile
"Qu'est-ce que le taux d'usure pour un crédit immobilier ?","Taux maximum légal que les banques ne peuvent pas dépasser. Révisé trimestriellement par la Banque de France. Protège les emprunteurs.",Concept credit,Difficile
"Comment calculer le coût total d'un crédit immobilier ?","Coût total = (mensualité × nombre de mois) - capital emprunté + frais de dossier + assurance + garantie. Il peut atteindre 30-50% du capital sur 25 ans.",Calcul credit,Difficile
"Qu'est-ce que l'assurance emprunteur avec délégation ?","L'emprunteur choisit librement son assureur, pas obligatoirement celui de la banque. Depuis 2022, on peut changer d'assurance à tout moment (loi Lemoine).",Concept assurance,Moyen
"Qu'est-ce que la loi Lemoine (2022) ?","Loi française qui permet de résilier l'assurance emprunteur à tout moment dans la première année, puis chaque année, sans frais.",Concept credit,Moyen
"Qu'est-ce que le taux d'assurance emprunteur ?","Pourcentage du capital emprunté que coûte l'assurance par an. Exemple : 0,30% sur 200 000€ = 600€/an. Varie selon l'âge, la santé, le métier.",Concept assurance,Moyen
"Qu'est-ce que la quotité d'assurance emprunteur ?","Pourcentage du capital remboursé par l'assurance en cas de sinistre (décès, invalidité). Par défaut 100% pour chacun des conjoints (50% parfois).",Concept assurance,Moyen
"Qu'est-ce que la surprime d'assurance emprunteur ?","Majoration du taux d'assurance en raison d'un risque aggravé (fumeur, sport extrême, maladie chronique).",Concept assurance,Moyen
"Qu'est-ce que la convention AERAS ?","Dispositif français permettant aux personnes ayant des problèmes de santé d'accéder à une assurance emprunteur avec une surprime ou des exclusions, encadré.",Concept assurance,Difficile
"Qu'est-ce que le droit à l'erreur en matière fiscale ?","Principe français (2018) qui protège les contribuables de bonne foi : une première erreur de déclaration n'entraîne pas d'amende, seulement un rappel et des intérêts de retard.",Concept fiscalite,Moyen
"Qu'est-ce que le taux de prélèvement à la source personnalisé ?","Taux d'impôt calculé par l'administration fiscale en fonction des revenus déclarés, appliqué sur le salaire. On peut le moduler en ligne.",Concept fiscalite,Moyen
"Comment contester un avis d'imposition ?","Via le site impots.gouv.fr (messagerie sécurisée) ou par courrier au centre des finances publiques, dans les 2 mois suivant la réception.",Concept fiscalite,Facile
"Qu'est-ce que le droit de reprise de l'administration fiscale ?","Délai pendant lequel le fisc peut contrôler et redresser une déclaration : 3 ans (général), 6 ans (cas de mauvaise foi), 10 ans (actes frauduleux).",Concept fiscalite,Difficile
"Qu'est-ce que la procédure de rectification contradictoire ?","Le fisc doit informer le contribuable des rehaussements envisagés et lui permettre de répondre avant d'établir un redressement définitif.",Concept fiscalite,Difficile
"Qu'est-ce que le droit de se faire assister par un conseil lors d'un contrôle fiscal ?","Le contribuable peut se faire accompagner par un avocat, expert-comptable ou conseil fiscal lors d'un contrôle sur pièces ou sur place.",Concept fiscalite,Moyen
"Qu'est-ce que le secret bancaire ?","Obligation de discrétion de la banque sur les comptes de ses clients. Il a été fortement réduit en France et au niveau international (échange automatique d'informations).",Concept banque,Moyen
"Qu'est-ce que l'échange automatique de renseignements (CRS) ?","Standard mondial (OCDE) : les banques transmettent automatiquement aux autorités fiscales les comptes détenus par des non-résidents, pour lutter contre l'évasion fiscale.",Concept fiscalite,Difficile
"Qu'est-ce que la déclaration FATCA ?","Loi américaine obligeant les banques étrangères à déclarer les comptes des contribuables américains (citoyens, green card) à l'IRS.",Concept fiscalite,Difficile
"Qu'est-ce que l'impôt sur la fortune immobilière (IFI) ?","Successeur de l'ISF depuis 2018 : impôt sur le patrimoine immobilier (hors actifs financiers et professionnels) au-delà de 1,3 million €. Taux de 0,5% à 1,5%.",Concept fiscalite,Difficile
"Qu'est-ce que la flat tax sur les revenus du capital ?","Prélèvement forfaitaire unique de 30% (12,8% IR + 17,2% prélèvements sociaux) applicable par défaut, avec option pour le barème progressif de l'IR.",Concept fiscalite,Difficile
"Qu'est-ce que l'abattement pour durée de détention ?","Pour les plus-values immobilières : abattement de 6% par an de la 6e à la 21e année, puis 4% la 22e, exonération totale après 22 ans.",Concept fiscalite,Difficile
"Qu'est-ce que la plus-value immobilière ?","Gain réalisé à la revente d'un bien immobilier (prix vente - prix achat - frais). Elle est imposable à 19% + prélèvements sociaux (17,2%), sous conditions d'abattement.",Concept fiscalite,Difficile
"Qu'est-ce que l'exonération de la plus-value immobilière pour résidence principale ?","La vente de la résidence principale est totalement exonérée de plus-value immobilière, quel que soit le montant du gain.",Concept fiscalite,Moyen
"Qu'est-ce que le déficit foncier ?","En immobilier locatif, si les charges (travaux, intérêts d'emprunt) dépassent les loyers, le déficit peut être déduit du revenu global dans la limite de 10 700€/an.",Concept fiscalite,Difficile
"Qu'est-ce que la loi Pinel ?","Dispositif de défiscalisation immobilière : réduction d'impôt de 12% à 21% du prix d'achat pour un investissement locatif dans le neuf, avec plafonds de loyer et de ressources.",Concept fiscalite,Difficile
"Qu'est-ce que le statut de Loueur Meublé Non Professionnel (LMNP) ?","Location meublée non professionnelle : les revenus sont imposés dans la catégorie des BIC (bénéfices industriels et commerciaux) avec un régime fiscal avantageux (abattement ou amortissement).",Concept fiscalite,Difficile
"Qu'est-ce que l'amortissement comptable en LMNP ?","Le propriétaire peut déduire de ses revenus locatifs la dépréciation du bien (hors terrain) et du mobilier, réduisant (voire annulant) l'impôt.",Concept fiscalite,Difficile
"Qu'est-ce que le régime réel d'imposition en LMNP ?","Régime obligatoire si les recettes locatives dépassent 23 000€ ou 50% des revenus. Permet de déduire toutes les charges réelles (intérêts, travaux, amortissement).",Concept fiscalite,Difficile
"Qu'est-ce que le régime micro-BIC en LMNP ?","Pour recettes locatives < 23 000€ : abattement forfaitaire de 50% sur les revenus (donc imposition sur 50% seulement).",Concept fiscalite,Moyen
"Qu'est-ce que la taxe sur les logements vacants ?","Taxe annuelle de 10 à 15% de la valeur locative pour les logements vacants depuis plus de 2 ans, dans certaines zones tendues.",Concept fiscalite,Moyen
"Qu'est-ce que le bail réel solidaire (BRS) ?","Dispositif d'accession sociale à la propriété : l'acheteur achète seulement le bâti, le terrain reste à un organisme foncier solidaire. Le prix est réduit de 30-50%.",Concept immobilier,Difficile
"Qu'est-ce que le prêt à taux zéro (PTZ) ?","Prêt sans intérêt accordé sous conditions de ressources pour l'achat d'une résidence principale neuve ou avec travaux. Peut financer jusqu'à 40% du projet.",Concept credit,Moyen
"Qu'est-ce que le Pass Foncier ?","Prêt complémentaire au PTZ pour financer l'achat du terrain dans le neuf. Taux très bas.",Concept credit,Difficile
"Qu'est-ce que le prêt d'accession sociale (PAS) ?","Prêt immobilier accordé par l'État (Caisse des dépôts) via les banques, sous conditions de ressources. Permet de financer jusqu'à 100% avec un taux plafonné.",Concept credit,Moyen
"Qu'est-ce que le conventionnement Anah ?","Le propriétaire signe une convention avec l'Anah pour louer à des ménages modestes avec plafonds de loyer. En contrepartie, il perçoit des aides pour les travaux.",Concept immobilier,Difficile
"Qu'est-ce que l'indice de référence des loyers (IRL) ?","Indice publié par l'INSEE qui sert à réviser annuellement le loyer. La hausse est limitée à la variation de l'IRL.",Concept immobilier,Moyen
"Qu'est-ce que l'encadrement des loyers ?","Dispositif en vigueur à Paris et dans certaines zones tendues : le loyer ne peut pas dépasser un plafond fixé par arrêté préfectoral.",Concept immobilier,Moyen
"Qu'est-ce que le dépôt de garantie en location ?","Somme versée par le locataire au propriétaire (généralement 1 mois de loyer), rendue dans les 2 mois après restitution des clés, déduction faite des dégradations.",Concept immobilier,Facile
"Qu'est-ce que l'état des lieux d'entrée ?","Document contradictoire décrivant l'état du logement (murs, sols, équipements) remis au locataire. Il est comparé à l'état des lieux de sortie pour retenir sur le dépôt de garantie.",Concept immobilier,Facile
"Qu'est-ce que la caution solidaire ?","Personne qui s'engage à payer le loyer à la place du locataire s'il ne paie pas. Obligatoire souvent pour les étudiants ou sans CDI.",Concept immobilier,Facile
"Qu'est-ce que le VISALE (Visa pour le Logement et l'Emploi) ?","Garantie de loyers impayés délivrée par Action Logement, gratuite pour le locataire, sous conditions de ressources et d'emploi.",Concept immobilier,Moyen
"Qu'est-ce que le DPE (Diagnostic de Performance Énergétique) ?","Document obligatoire pour toute location ou vente, classant le logement de A (très économe) à G (passoire thermique). Depuis 2025, les logements G sont interdits à la location.",Concept immobilier,Moyen
"Qu'est-ce que le passoire thermique ?","Logement mal isolé, classé F ou G au DPE. La loi interdit progressivement leur location : G en 2025, F en 2028, E en 2034.",Concept immobilier,Moyen
"Qu'est-ce que le prêt avance rénovation ?","Prêt hypothécaire permettant de financer des travaux de rénovation énergétique. Remboursable au moment de la vente du bien ou de la succession.",Concept credit,Difficile
"Qu'est-ce que MaPrimeRénov' ?","Aide financière de l'Anah pour les travaux de rénovation énergétique (isolation, chauffage). Le montant dépend des revenus et du gain énergétique.",Concept social,Moyen
"Qu'est-ce que l'éco-prêt à taux zéro (éco-PTZ) ?","Prêt sans intérêt pour financer des travaux de rénovation énergétique (jusqu'à 50 000€). Conditions : logement construit avant 1990.",Concept credit,Moyen
"Qu'est-ce que le certificat d'économie d'énergie (CEE) ?","Document délivré après réalisation de travaux d'économie d'énergie. Les fournisseurs d'énergie (EDF, Engie) rachètent ces certificats, ce qui finance une partie des travaux.",Concept social,Difficile
"Qu'est-ce que le tiers-financement ?","Système où une entreprise (ex : rénovateur) avance les frais des travaux. Le ménage rembourse sur ses économies d'énergie, ou le fournisseur d'énergie via les CEE.",Concept credit,Difficile
"Qu'est-ce que la TVA à 5,5% pour les travaux ?","Taux réduit applicable aux travaux de rénovation (logement de plus de 2 ans), sous conditions d'entreprise agréée RGE (Reconnu Garant de l'Environnement).",Concept fiscalite,Moyen
"Qu'est-ce que l'obligation d'emploi de RGE ?","Pour bénéficier des aides (MaPrimeRénov', CEE, éco-PTZ), les travaux doivent être réalisés par une entreprise certifiée RGE (Reconnu Garant de l'Environnement).",Concept social,Moyen
